Campus Center P-Row,Davis Sq,TAB,Campus Center Talbot,Carmichael Hall,Olin Center
8:00 AM,8:07 AM,8:09 AM,8:17 AM,8:22 AM,8:24 AM
8:31 AM,8:38 AM,8:40 AM,8:48 AM,8:53 AM,8:55 AM
9:02 AM,9:09 AM,9:11 AM,9:19 AM,9:24 AM,9:26 AM
9:33 AM,9:40 AM,9:42 AM,9:50 AM,9:55 AM,9:57 AM
10:04 AM,10:11 AM,10:13 AM,10:21 AM,10:26 AM,10:28 AM
10:35 AM,10:42 AM,10:44 AM,10:52 AM,10:57 AM,10:59 AM
,,,,,
Driver,Break,From,10:59 AM,To,11:21 AM
,,,,,
11:21 AM,11:28 AM,11:30 AM,11:38 AM,11:43 AM,11:45 AM
11:52 AM,11:59 AM,12:01 PM,12:09 PM,12:14 PM,12:16 PM
12:23 PM,12:30 PM,12:32 PM,12:40 PM,12:45 PM,12:47 PM
12:54 PM,1:01 PM,1:03 PM,1:11 PM,1:16 PM,1:18 PM
1:25 PM,1:32 PM,1:34 PM,1:42 PM,1:47 PM,1:49 PM
1:56 PM,2:03 PM,2:05 PM,2:13 PM,2:18 PM,2:20 PM
,,,,,
Driver,Break,From,2:20 PM,To,2:57 PM
,,,,,
2:57 PM,3:04 PM,3:06 PM,3:14 PM,3:19 PM,3:21 PM
3:28 PM,3:35 PM,3:37 PM,3:45 PM,3:50 PM,3:55 PM
4:02 PM,4:09 PM,4:11 PM,4:19 PM,4:24 PM,4:26 PM
4:33 PM,4:40 PM,4:42 PM,4:50 PM,4:55 PM,5:06 PM
5:13 PM,5:20 PM,5:22 PM,5:30 PM,5:35 PM,5:37 PM
5:44 PM,5:51 PM,–,5:58 PM,6:03 PM,6:05 PM
,,,,,
Driver,Break,From,6:05 PM,To,6:28 PM
,,,,,
6:28 PM,6:35 PM,–,6:42 PM,6:47 PM,6:49 PM
6:56 PM,7:03 PM,–,7:10 PM,7:15 PM,7:17 PM
7:24 PM,7:31 PM,–,7:38 PM,7:43 PM,7:45 PM
7:52 PM,7:59 PM,–,8:06 PM,8:11 PM,8:13 PM
8:20 PM,8:27 PM,–,8:34 PM,8:39 PM,8:41 PM
8:48 PM,8:55 PM,–,9:02 PM,9:07 PM,9:09 PM
,,,,,
Driver,Break,From,9:09 PM,To,9:44 PM
,,,,,
9:44 PM,9:51 PM,–,9:58 PM,10:03 PM,10:05 PM
10:12 PM,10:19 PM,–,10:26 PM,10:31 PM,10:33 PM
10:39 PM,10:45 PM,–,10:51 PM,,